state_time,ank_ang,mot_ang,mot_cur
19785,2376,4888,795
19795,2375,4889,799
19805,2376,4890,799
19815,2375,4892,798
19825,2376,4892,798
19835,2376,4893,803
19845,2375,4892,800
19855,2376,4893,797
19865,2375,4894,797
19875,2375,4893,801
19885,2375,4893,801
19895,2375,4893,800
19905,2375,4894,799
19915,2375,4896,798
19925,2376,4903,800
19935,2375,4913,797
19945,2376,4930,799
19955,2377,4948,806
19965,2376,4946,800
19975,2377,4947,798
19985,2377,4948,796
19995,2377,4947,800
20005,2378,4949,799
20015,2377,4948,800
20025,2377,4948,799
20035,2378,4947,800
20045,2378,4947,799
20055,2378,4947,801
20065,2378,4947,799
20075,2378,4948,797
20085,2377,4948,798
20095,2377,4948,799
20105,2377,4947,798
20115,2378,4945,800
20125,2378,4948,800
20135,2378,4948,796
20145,2377,4947,798
20155,2378,4946,796
20165,2377,4947,802
20175,2378,4948,799
20185,2378,4948,796
20195,2378,4947,799
20205,2378,4949,802
20215,2377,4948,796
20225,2377,4947,797
20235,2378,4948,802
20245,2377,4949,801
20255,2379,4949,798
20265,2378,4948,800
20275,2379,4949,799
20285,2378,4948,800
20295,2378,4948,797
20305,2377,4948,798
20315,2378,4948,796
20325,2378,4948,798
20335,2378,4948,798
20345,2378,4949,796
20355,2378,4948,797
20365,2378,4947,796
20375,2378,4948,796
20385,2378,4948,803
20395,2378,4950,796
20405,2378,4948,800
20415,2378,4949,801
20425,2377,4950,799
20435,2378,4948,800
